"Return order was successfully saved","Return order was successfully saved"
"Return to","Return to"
"Return to Stock","Return to Stock"
"Return type","Return type"
"Returned On","Returned On"
"Row Total","Row Total"
"SKU","SKU"
"Sales Amount","Sales Amount"
"Sales Manager","Sales Manager"
"Sales Report","Sales Report"
"Sales Report By Warehouse Product","Sales Report By Warehouse Product"
"Sales Report by Warehouse","Sales Report by Warehouse"
"Sales Report by Warehouse Products","Sales Report by Warehouse Products"
"Sales Total","Sales Total"
"Sales report by warehouse","Sales report by warehouse"
"Sales report by warehouse products","Sales report by warehouse products"
"Save","Save"
"Save Adjust Stock","Save Adjust Stock"
"Save And Apply","Save And Apply"
"Save And Continue Edit","Save And Continue Edit"
"Save And View","Save And View"
"Save Notice","Save Notice"
"Save Order","Save Order"
"Save Stock Issuing","Save Stock Issuing"
"Save Stock Receiving","Save Stock Receiving"
"Save Stock Transfer","Save Stock Transfer"
"Save Supplier","Save Supplier"
"Save Warehouse","Save Warehouse"
"Search","Search"
"Select From Warehouse","Select From Warehouse"
"Select Supplier","Select Supplier"
"Select Supplier for Product","Select Supplier for Product"
"Select Warehouse for Product","Select Warehouse for Product"
"Select date to calculate forecast demand","Select date to calculate forecast demand"
"Send email to supplier","Send email to supplier"
"Send new password to supplier","Send new password to supplier"
"Send notice","Send notice"
"Send notification email to admin","Send notification email to admin"
"Sender's Email Address","Sender's Email Address"
"Sender's Name","Sender's Name"
"Settings","Settings"
"Ship","Ship"
"Ship to Name","Ship to Name"
"Ship via name","Ship via name"
"Shipment Comments","Shipment Comments"
"Shipped","Shipped"
"Shipping Cost","Shipping Cost"
"Shipping Method Information","Shipping Method Information"
"Shipping Method News","Shipping Method News"
"Shipping Method was successfully deleted!","Shipping Method was successfully deleted!"
"Shipping Method was successfully saved!","Shipping Method was successfully saved!"
"Shipping Progress","Shipping Progress"
"Shipping via","Shipping via"
"Show Report","Show Report"
"Show Supply Needs","Show Supply Needs"
"So the structure for CSV file will be:","So the structure for CSV file will be:"
"So your CSV file will have following columns in total:","So your CSV file will have following columns in total:"
"Spent","Spent"
"Spent Amount","Spent Amount"
"Start ship","Start ship"
"Start shipping date","Start shipping date"
"State/Province","State/Province"
"Status","Status"
"Stock Adjustment Manager","Stock Adjustment Manager"
"Stock Availability","Stock Availability"
"Stock Availability by Warehouse","Stock Availability by Warehouse"
"Stock Issuing","Stock Issuing"
"Stock Issuing Information","Stock Issuing Information"
"Stock Issuing Manager","Stock Issuing Manager"
"Stock Issuings","Stock Issuings"
"Stock Notification","Stock Notification"
"Stock Receiving","Stock Receiving"
"Stock Receiving Information","Stock Receiving Information"
"Stock Receiving Manager","Stock Receiving Manager"
"Stock Receiving News","Stock Receiving News"
"Stock Receivings","Stock Receivings"
"Stock Transfer Information","Stock Transfer Information"
"Stock Transfer Manager","Stock Transfer Manager"
"Stock Transfering Information","Stock Transfering Information"
"Stock Transfering Manager","Stock Transfering Manager"
"Stock Transfering News","Stock Transfering News"
"Stock Transferrings","Stock Transferrings"
"Stock issuing","Stock issuing"
"Stock issuing was successfully saved","Stock issuing was successfully saved"
"Stock receiving was successfully saved!","Stock receiving was successfully saved!"
"Stock transfer information","Stock transfer information"
"Stock transfer was successfully saved.","Stock transfer was successfully saved."
"Stock was successfully updated.","Stock was successfully updated."
"Street","Street"
"Submit","Submit"
"Submit Drop Shipment","Submit Drop Shipment"
"Submit Shipment","Submit Shipment"
"Subtotal","Subtotal"
"Supplier","Supplier"
"Supplier Address: ","Supplier Address: "
"Supplier Configuration","Supplier Configuration"
"Supplier Filter","Supplier Filter"
"Supplier Id","Supplier Id"
"Supplier Information","Supplier Information"
"Supplier Manager","Supplier Manager"
"Supplier Name","Supplier Name"
"Supplier Name ","Supplier Name "
"Supplier Name: ","Supplier Name: "
"Supplier News","Supplier News"
"Supplier does not exist","Supplier does not exist"
"Supplier was successfully deleted!","Supplier was successfully deleted!"
"Supplier was successfully saved!","Supplier was successfully saved!"
"Supply Needs Manager","Supply Needs Manager"
"Supply needs","Supply needs"
"Supplyneeds","Supplyneeds"
"T: ","T: "
"Tax","Tax"
"Tax Amount","Tax Amount"
"Tax Rate","Tax Rate"
"Tax: ","Tax: "
"Telephone","Telephone"
"Telephone: ","Telephone: "
"Test Email","Test Email"
"The opening of the email","The opening of the email"
"Time Stamp","Time Stamp"
"Time Stamp: ","Time Stamp: "
"Title","Title"
"To Warehouse","To Warehouse"
"To Warehouse:","To Warehouse:"
"To:","To:"
"Total","Total"
"Total Amount","Total Amount"
"Total Orders","Total Orders"
"Total Product","Total Product"
"Total Products Ordered","Total Products Ordered"
"Total Products Received","Total Products Received"
"Total Products Returned","Total Products Returned"
"Total Qty","Total Qty"
"Total Qty Order","Total Qty Order"
"Total Qty Received","Total Qty Received"
"Total Qty Returned","Total Qty Returned"
"Total Qty Sold","Total Qty Sold"
"Total Sales Amount","Total Sales Amount"
"Total Sales Report","Total Sales Report"
"Total amount","Total amount"
